scan_record_id,raw_scan_id,count_control_mode,acquisition_state_id,lattice_state_id,UB_state_id,scan_variable_raw,pre_detector_status,split_role,discovery_runtime_status,pre_detector_reasons,source_point_count,usable_geometry_points,energy_order,admissible_windows,discovery_qc_reasons
SCAN-02R-6d3fa023f691129f,104042,time_controlled,ACQSTATE-02R-e4276bdea8e15cd5,LAT-02R-ae4c74e47a033f66,UB-02R-55ac4333b2057246,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,41,0,not_evaluated,0,
SCAN-02R-6f7239d1961a1e4d,104197,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,holdout,not_evaluated,,11,11,increasing,9,
SCAN-02R-6fded6b51e0642a8,104238,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,26,26,decreasing_reversed_with_provenance,68,
SCAN-02R-7044f49c95edc115,104143,time_controlled,ACQSTATE-02R-763c392f103059d4,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,sgl,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-708cf4d83a29d78f,104239,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,26,26,decreasing_reversed_with_provenance,68,
SCAN-02R-7118d0dce593edea,104205,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,56,56,increasing,188,
SCAN-02R-71f68f9554b93f6c,104046,time_controlled,ACQSTATE-02R-03c418e03bbff8ef,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,qk,not_primary_energy_discovery,not_applicable,not_evaluated,,31,0,not_evaluated,0,
SCAN-02R-72904b63e5e6e883,104078,time_controlled,ACQSTATE-02R-53df6374615f09d5,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,sgl,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-731f452fb62a55bd,104098,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,en,eligible_for_split,discovery,discovery_usable,,25,25,decreasing_reversed_with_provenance,64,
SCAN-02R-73adc0625f7869df,104185,monitor_controlled,ACQSTATE-02R-0fc7191ce8c954ce,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,ps_bottom,not_primary_energy_discovery,not_applicable,not_evaluated,,6,0,not_evaluated,0,
SCAN-02R-7493a417e6451013,104109,time_controlled,ACQSTATE-02R-d8bd77a44fe00800,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,s2,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-74e2c66cfb23844c,104091,time_controlled,ACQSTATE-02R-76cbd914416780d4,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,pa_bottom,not_primary_energy_discovery,not_applicable,not_evaluated,,29,0,not_evaluated,0,
SCAN-02R-75faa4a614a8f130,104215,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,26,26,decreasing_reversed_with_provenance,68,
SCAN-02R-762111064d108c6d,104154,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,31,31,decreasing_reversed_with_provenance,88,
SCAN-02R-76804d90690fee01,104130,time_controlled,ACQSTATE-02R-b89c4bffa1f47288,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,ql,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-774f62fc1777bc6b,104101,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,en,eligible_for_split,discovery,discovery_usable,,25,25,decreasing_reversed_with_provenance,64,
