area_uncertainty,area_uncertainty_status,centroid_uncertainty,complex_id,component_id,observed_width_uncertainty,observed_width_uncertainty_status,reason,scan_id,uncertainty_method,uncertainty_status
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-eea1fadd4abbd144,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-f36bb8e354cf21b7,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-f380a5a0600b447a,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-f56f915bc229d6aa,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-f87c8c3cd06321c2,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-fede66c26a275769,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-074afad5a6b92ea4,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-1e5b02c69224108d,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-26c5588a4a75efc2,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-2a0e91f43e0fe127,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-306a96179bd778b6,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-432159a75d80f2b3,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-4ad1398a663b7933,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-4eb3495e2e32dd73,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-51f6ed2eb7632349,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-68a1fdbd8955d9a4,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-7118d0dce593edea,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-762111064d108c6d,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-77b71bd09c7eb4b4,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-79e659b84aa4786d,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-91f840c137c7a43c,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-abcd8030795bc9cb,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-d2b7e9ee069bd20e,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-ebc55d8b20e3cec0,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-ef6a11424f751d3f,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 40.64119285714286, ""upper"": 46.354907142857144}",CX-03,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-f71173d3ec0c732c,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
